Do you own a wireless speaker?,How often do you use your wireless speaker?,How would you rate the sound quality of your wireless speaker?,Please tell us a bit more about your rating of the sound quality of your wireless speaker. ,What's most important to you in a wireless speaker? [Sound quality],What's most important to you in a wireless speaker? [Battery life],What's most important to you in a wireless speaker? [Design/Looks],"What's most important to you in a wireless speaker? [Connectivity options (e.g., Bluetooth, Wi-Fi)]",What's most important to you in a wireless speaker? [Durability],What's most important to you in a wireless speaker? [Price],Which brands of wireless speakers do you own or have used before? (Select all that apply) ,"What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Recommendation from friends/family]","What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Online reviews from other customers]","What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Expert reviews]","What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Brand reputation]","What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Price]","What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Specific features]","What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Advertising]",How happy are you with your wireless speaker?,What would make your wireless speaker better?,What do you mostly use your wireless speaker for? (Select all that apply),Have any other lifestyle changes in the past year changed how you use wireless speakers? (Select all that apply),How much did you spend on your wireless speaker? (US dollars),How likely are you to buy a new wireless speaker in the next 12 months?,Where do you like to buy wireless speakers?,How do you think about and evaluate the price when buying a wireless speaker? ,How old are you?,What is your gender?,What's your annual household income?,"Thanks a bunch for completing our survey! Your feedback is super valuable and will help us understand what consumers want. 
If you have any extra comments or feedback, please share them below.","Thanks a bunch for completing our survey! Your feedback is super valuable and will help us understand what consumers want. 
If you have any extra comments or feedback, please share them below."
YES,SEVERAL TIMES A WEEK,AVERAGE,THE QUALITY OF MY WIRELESS BEATS ARE AVERAGE AND THE MAX VOLUME IS BELOW AVERAGE COMPARED TO MY AIRPOD PROS.,6,5,3,4,2,1,AIRPODS,1,3,1,5,5,5,4,2,IMPROVE MAXIMUM VOLUME,"LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS, PODCASTS/AUDIOBOOKS, WORK STUFF (E.G., WEBINARS, ONLINE MEETINGS)","SPENDING MORE TIME AT HOME, MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES), HOME WORKOUTS",$100 TO $200,5,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),"I CONSIDER THE BRAND, CONNECTIVITY, PRODUCT POPULARITY AND VOLUME QUALITY",25-34,FEMALE,"$75,000-$100,000",N/A,N/A
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,SEVERAL TIMES A WEEK,GOOD,"IT IS CONVENIENT, EASY TO USE 
IT ALSO HAVE A CLEAR SOUND 
",1,4,3,5,6,2,"SAMSUNG, MARSHALL",2,1,2,2,1,2,2,4,THE BATTERY SHOULD LAST MORE THAN 24HRS AND SHOULD ALSO BE WATER RESISTANT ,"LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS, PODCASTS/AUDIOBOOKS","SPENDING MORE TIME AT HOME, WORKING FROM HOME MORE, MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES), HOME WORKOUTS",LESS THAN $50,2,MULTI-BRAND ELECTRONICS STORES (AN ACTUAL PHYSICAL STORE SELLING ONLY ELECTRONICS FROM A VARIETY OF BRANDS),THE PRICE SHOULDN'T BE TOO HIGH SO EVERYONE CAN AFFORD IT ,25-34,MALE,"LESS THAN $25,000",WIRELESS SPEAKER BATTERY SHOULD LAST 20HRS,Wireless speaker battery should last 20hrs
YES,RARELY (FEWER THAN ONCE A MONTH),GOOD,"IT IS GOOD, BUT SOMETIMES IT DIES TOO FAST. ",1,2,4,3,5,6,JBL,2,4,4,4,3,4,4,4,BATTERY LIFE,"LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS",BEING AWAY FROM HOME,$100 TO $200,2,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",OTHER MARKET SPEAKERS,18-24,MALE,PREFER NOT TO SAY,NONE AT THIS TIME,none at this time
YES,DAILY,EXCELLENT,IT HAS A LARGE RANGE OF SOUND ,5,3,1,2,4,6,JBL,1,5,4,5,5,3,3,5,LONGER BATTERY LIFE,"LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS","MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",$50 TO $100,1,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",I COMPARE AND CONTRAST SPEAKERS WITH THE SAME ATTRIBUTES AND HOW THE PRICES DIFFERENTIATE,18-24,FEMALE,PREFER NOT TO SAY,N/A,n/a
YES,1-3 TIMES A MONTH,EXCELLENT,SOOOOOO GOOD ,6,3,1,4,2,5,HARMAN/KARDON,3,3,1,1,3,3,3,5,THE BASS AND SOUND QUALITY IS TERRIFIC,LISTENING TO MUSIC,SPENDING MORE TIME AT HOME,$200 TO $300,1,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),IS THE PRICE WORTH THE SOUND OR IN REVERSE IS THE SOUND WORTH ROBBING ME OF THE MONEY IN MY ACCOUNT ,18-24,FEMALE,PREFER NOT TO SAY,"YOUR WELCOME , DONT SEND SPAM MAIL, MY STORAGE IS FULL🤨","Your welcome , DONT SEND SPAM MAIL, MY STORAGE IS FULL🤨"
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,SEVERAL TIMES A WEEK,AVERAGE,I THINK MY WIRELESS SPEAKER COULD HAVE BETTER BASS ON IT.,2,4,5,6,3,1,"JBL, SONY",5,5,3,4,5,3,2,4,I THINK IF IT HAD BETTER BASS AND THE SOUND OF THE SPEAKER WAS MORE CLEAR.,LISTENING TO MUSIC,"SPENDING MORE TIME AT HOME, MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",$50 TO $100,3,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),I THINK ABOUT HOW KNOWN THE BRAND OF THE SPEAKER IS AND THE REVIEWS TO THE PRICE.,18-24,MALE,"$50,000-$75,000",N/A,N/A
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,DAILY,EXCELLENT,"IT HAS A QUALITY BASS, STRONG DURABILITY AND LASTS",6,4,5,1,2,3,ZEALOT ,5,5,3,5,5,3,3,5,IT’S PERFECT THE WAY IT IS,LISTENING TO MUSIC,SPENDING MORE TIME AT HOME,LESS THAN $50,5,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",IF THE FEATURES SUITS THE PRICE,18-24,FEMALE,"LESS THAN $25,000",NON,Non
YES,DAILY,GOOD,THE VOLUME COULD GO A BIT UP,2,3,1,4,6,5,"BOSE, JBL, SONY",5,5,5,4,5,3,2,4,IF THE VOLUME COULD BE HIGHER,"LISTENING TO MUSIC, PODCASTS/AUDIOBOOKS, VIDEO/AUDIO CALLS (WORK/PERSONAL)","SPENDING MORE TIME AT HOME, MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",$50 TO $100,2,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",I THINK ABOUT QUALITY X PRICE,25-34,MALE,"$50,000-$75,000",NO,NO
YES,SEVERAL TIMES A WEEK,GOOD,SOMETIMES IS NOT GREAT,5,3,1,4,6,2,"SAMSUNG, MARSHALL, SONY",5,5,5,5,4,2,1,4,IF THE BATTERY LIFE WAS LONGER,"LISTENING TO MUSIC, PODCASTS/AUDIOBOOKS, VIDEO/AUDIO CALLS (WORK/PERSONAL), WORK STUFF (E.G., WEBINARS, ONLINE MEETINGS)","SPENDING MORE TIME AT HOME, WORKING FROM HOME MORE, MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES), HOME WORKOUTS",$200 TO $300,5,BRAND WEBSITES,I THINK ABOUT THE BRAND ,45-54,FEMALE,"MORE THAN $100,000",NO,NO
YES,DAILY,GOOD,IT HAS GOOD SOUND QUALITY ,6,5,4,2,3,1,ZEALOT ,5,5,4,5,5,5,5,5,NOTHING FOR NOW,LISTENING TO MUSIC,SPENDING MORE TIME AT HOME,LESS THAN $50,5,BRAND WEBSITES,IT HAD TO BE WORTH THE FEATURES ,18-24,FEMALE,"LESS THAN $25,000",NIL,Nil
YES,DAILY,EXCELLENT,IT IS AMAZING,6,5,1,2,3,4,"BOSE, JBL, SONY",5,5,3,4,4,2,4,5,THE CONNECTIVITY TO BE EASIER,"LISTENING TO MUSIC, PODCASTS/AUDIOBOOKS, VIDEO/AUDIO CALLS (WORK/PERSONAL), WORK STUFF (E.G., WEBINARS, ONLINE MEETINGS)","WORKING FROM HOME MORE, MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES), MORE ONLINE SOCIAL INTERACTIONS",$100 TO $200,5,BRAND WEBSITES,I THINK ABOUT THE BRAND AND DURABILITY,45-54,MALE,"$75,000-$100,000","NO
","no
"
YES,DAILY,GOOD,"IT WORKS WELL, IT CAN’T BE TOO LOUD AS I LIVE IN AN APARTMENT. THE ONLY BAD POINT IS THE DURABILITY, I BOUGHT A YEAR AGO AND THE BATTERY IS NOT LASTING ENOUGH  ",6,4,3,1,5,2,"JBL, SONY",2,1,1,5,4,4,4,4,LONGER BATTERY DURATION ,LISTENING TO MUSIC,SPENDING MORE TIME AT HOME,$100 TO $200,5,MULTI-BRAND ELECTRONICS STORES (AN ACTUAL PHYSICAL STORE SELLING ONLY ELECTRONICS FROM A VARIETY OF BRANDS),"THE BRAND, THE SIZE, THE OPINION OF A PROFESSIONAL MAYBE THE WORKER OF THE SHOP ",18-24,FEMALE,"$25,000-$50,000",.,.
YES,DAILY,GOOD,I LIKE IT BUT THE VOLUME IS NOT HIGH ENOUGH,6,2,4,1,3,5,"BOSE, JBL, SONY",5,5,3,4,5,2,2,5,BEING SMALLER,"LISTENING TO MUSIC, PODCASTS/AUDIOBOOKS",SPENDING MORE TIME AT HOME,$50 TO $100,2,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",I THINK ABOUT THE PRICE X QUALITY,18-24,MALE,"$25,000-$50,000",NO ,No 
YES,DAILY,EXCELLENT,IT’S GREAT,6,5,1,4,3,2,"JBL, BEATS ",3,3,3,5,3,5,4,5,LONGER BATTERY,"LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS","SPENDING MORE TIME AT HOME, MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",$200 TO $300,4,BRAND WEBSITES,BRAND REPUTATION AND REVIEWS,18-24,FEMALE,"$50,000-$75,000",NO COMMENT,no comment
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,SEVERAL TIMES A WEEK,GOOD,SOUND BEEING HIGHER,6,5,1,4,3,2,"BOSE, JBL, MARSHALL",5,4,4,4,3,4,2,5,THE SOUND GOING HIGHER SO I CAN LISTEN BETTER WHEN I PLAY GAMES,"LISTENING TO MUSIC, GAMING","SPENDING MORE TIME AT HOME, MORE ONLINE SOCIAL INTERACTIONS",$50 TO $100,4,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),I THINK ABOUT IF I NEED THAT NOW,Under 18,MALE,"LESS THAN $25,000",NOP,nop
YES,DAILY,EXCELLENT,NIL,1,2,3,6,4,5,JBL,1,1,1,1,1,1,1,5,NIL,LISTENING TO MUSIC,SPENDING MORE TIME AT HOME,$50 TO $100,1,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",NOL,18-24,FEMALE,"$25,000-$50,000",NIL,Nil
YES,DAILY,EXCELLENT,SUPER GOOD,6,5,2,1,4,3,"JBL, SONY",5,4,1,3,4,1,2,5,"I LIKE IT, BUT WAS EXPENSIVE","LISTENING TO MUSIC, PODCASTS/AUDIOBOOKS, VIDEO/AUDIO CALLS (WORK/PERSONAL)","SPENDING MORE TIME AT HOME, MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES), HOME WORKOUTS",$50 TO $100,5,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),I THINK ABOUT THE QUALITY OF IT AND HOW MUCH I WILL USE IT,25-34,FEMALE,"$25,000-$50,000",GOOD LUCKKK,good luckkk
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,DAILY,EXCELLENT,VERY GOOD,6,5,4,2,3,1,ZEALOT ,5,5,4,5,5,5,4,5,"DURABILITY, SOUND QUALITY ",LISTENING TO MUSIC,SPENDING MORE TIME AT HOME,LESS THAN $50,5,"LARGE MULTI-BRAND STORES (E.G., AMAZON)","IT MUST BE WORTH IT
",18-24,FEMALE,"LESS THAN $25,000",NONE ,None 
YES,DAILY,EXCELLENT,I LOVE IT,6,2,1,5,4,3,"BOSE, JBL, MARSHALL",5,2,3,4,2,4,2,5,VOLUME BEING EVEN HIGHER,LISTENING TO MUSIC,"SPENDING MORE TIME AT HOME, MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",$100 TO $200,5,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),HOW GOOD THE SPEAKER IS ,18-24,MALE,"$50,000-$75,000",I LOVE MY SPEAKER IS FROM JBL,I love my speaker is from JBL
YES,DAILY,AVERAGE,SOMETIMES IT DISCONNECTS ,6,2,1,5,4,3,"BOSE, JBL, SONY",5,2,2,4,4,3,2,3,NOT DISCONECT,"LISTENING TO MUSIC, PODCASTS/AUDIOBOOKS, VIDEO/AUDIO CALLS (WORK/PERSONAL), WORK STUFF (E.G., WEBINARS, ONLINE MEETINGS)","SPENDING MORE TIME AT HOME, WORKING FROM HOME MORE, MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES), MORE ONLINE SOCIAL INTERACTIONS, HOME WORKOUTS",LESS THAN $50,4,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),I THINK ABOUT THE PRICE MOSLTY I LOOK FOR A CHEAP ONE,18-24,FEMALE,"$25,000-$50,000",THATS ALL,Thats all
YES,DAILY,GOOD,THE QUALITY IS GOOD BUT DOESN’T PRODUCE A VERY GOOD QUALITY SOUND WHEN IT’S HIGH VOLUME ,6,5,4,3,2,1,"JBL, MARSHALL, SONY",3,3,3,4,3,4,4,4,LONGER BATTERY LIFE WHEN AT FULL VOLUME ,LISTENING TO MUSIC,"MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES), HOME WORKOUTS",$200 TO $300,4,MULTI-BRAND ELECTRONICS STORES (AN ACTUAL PHYSICAL STORE SELLING ONLY ELECTRONICS FROM A VARIETY OF BRANDS),I JUST LOOK FOR SOMETHING OF QUALITY WITH AN AVERAGE PRICE ,18-24,MALE,"LESS THAN $25,000",.,.
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,DAILY,EXCELLENT,AMAZING,6,4,2,3,5,1,MARSHALL,5,3,2,4,3,4,4,5,BEING SMALLER,"LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS, PODCASTS/AUDIOBOOKS","SPENDING MORE TIME AT HOME, MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES), HOME WORKOUTS",$100 TO $200,2,BRAND WEBSITES,"DESIGN, QUALITY, BRAND AND PRICE OVERALL",18-24,FEMALE,"$50,000-$75,000",NO,NO
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,DAILY,EXCELLENT,VERY NICE,2,5,1,4,6,3,"JBL, MARSHALL",5,5,4,4,5,2,3,5,EASIER TO CARRY AROUND,"LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS, PODCASTS/AUDIOBOOKS, VIDEO/AUDIO CALLS (WORK/PERSONAL)","MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES), HOME WORKOUTS",$100 TO $200,4,BRAND WEBSITES,THE BRAND VALUE,18-24,FEMALE,"$25,000-$50,000",ITS ALL HERE,its all here
YES,DAILY,GOOD,OK,4,3,1,2,5,6,"BOSE, SAMSUNG, MARSHALL",3,4,5,5,5,5,2,4,VOLUME,"LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS, GAMING","SPENDING MORE TIME AT HOME, WORKING FROM HOME MORE, MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",$100 TO $200,2,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),PRICE AND QUALITY,18-24,MALE,"$25,000-$50,000",MAKE SPEAKERS BETTER FOR US :),Make speakers better for us :)
YES,SEVERAL TIMES A WEEK,AVERAGE,NOT AMAZING,5,1,2,3,4,6,"BOSE, JBL",4,5,5,4,5,3,4,3,BETTER QUALITY AND DURABILITY,"LISTENING TO MUSIC, PODCASTS/AUDIOBOOKS","MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES), HOME WORKOUTS",$50 TO $100,2,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),I THINK ABOUT THE BRAND AND IF IS WORTHY GETTING IT,18-24,FEMALE,"$25,000-$50,000",NO THANKS!,No thanks!
YES,SEVERAL TIMES A WEEK,GOOD,GOOD ,6,5,2,1,4,3,BOSE,4,3,2,5,2,1,4,1,SOUND ,LISTENING TO MUSIC,"MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",$50 TO $100,1,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",100,18-24,FEMALE,"$25,000-$50,000",NO ,No 
YES,ONCE A WEEK,GOOD,IT'S OKAY ,6,5,1,2,4,3,KORTERK,1,2,2,2,4,3,2,5,LONGER BATTERY LIFE,"LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS",MORE ONLINE SOCIAL INTERACTIONS,LESS THAN $50,1,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),A LOT ,18-24,FEMALE,PREFER NOT TO SAY,NIL,Nil
YES,ONCE A WEEK,AVERAGE,IT FELL RECENTLY SO I THINK THE BASS SPOILT,6,3,1,4,5,2,KOLEER,3,3,3,3,3,3,3,4,IF I CAN FIX THE BASS ,"LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS",NOTHING TBH,LESS THAN $50,5,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),I GO ONLINE AND SEE THE PRICE RANGE ON JUMIA OR SOMETHING,18-24,MALE,PREFER NOT TO SAY,NO COMMENT,No comment
YES,1-3 TIMES A MONTH,EXCELLENT,IT SOUNDS THE WAY I WANT IT TO BE,1,2,3,4,5,6,"JBL, SAMSUNG",1,3,3,3,3,3,3,4,BASS BOOSTER ,"LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS","MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",$50 TO $100,3,BRAND WEBSITES,IF IT'S WORTH IT,18-24,FEMALE,"$25,000-$50,000",NO FEEDBACK,No feedback
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,DAILY,EXCELLENT,MORE THAN ENOUGH FOR SMALL ROOM ESPECIALLY IN MY WORK ROOM,6,5,1,3,4,2,XIAOMI AND HARMAN KARDON,5,5,5,5,5,4,4,5,SOUND QUALITY,"LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS, PODCASTS/AUDIOBOOKS, WORK STUFF (E.G., WEBINARS, ONLINE MEETINGS)","MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",$200 TO $300,3,"LARGE MULTI-BRAND STORES (E.G., AMAZON)","AUDIO QUALITY, PRICE, AND DURABILITY",25-34,MALE,"LESS THAN $25,000",NOPE. ALL GOOD.,Nope. All good.
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,SEVERAL TIMES A WEEK,AVERAGE,5/10,1,3,6,4,2,5,"JBL, SONY",1,5,5,5,4,4,4,3,BETTER SOUND QUALITY ,"LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS","SPENDING MORE TIME AT HOME, MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES), HOME WORKOUTS",LESS THAN $50,1,MULTI-BRAND ELECTRONICS STORES (AN ACTUAL PHYSICAL STORE SELLING ONLY ELECTRONICS FROM A VARIETY OF BRANDS),I ALWAYS HAVE A BUDGET AND THE PRICE MUST NOT EXCEED IT. ,18-24,FEMALE,PREFER NOT TO SAY,"1) A QUESTION I THINK YOU SHOULD HAVE ASKED IS; HOW LONG SHOULD A GOOD WIRELESS SPEAKER LAST?

2) EXCEPT THIS IS AN INTERNATIONAL SURVEY, I DON'T SEE A REASON WHY THE CURRENCY USED IS IN DOLLARS. YOU CAN PROVIDE APPROXIMATE VALUE IN OTHER CURRENCY LIKE NIGERIAN NAIRA. 

OVERALL, THE SURVEY WAS FUN TO FILL AND THE GRAMMAR WAS SIMPLE AS WELL AS STRAIGHTFORWARD. ","1) A question I think you should have asked is; how long should a good wireless speaker last?

2) Except this is an international survey, I don't see a reason why the currency used is in dollars. You can provide approximate value in other currency like Nigerian naira. 

Overall, the survey was fun to fill and the grammar was simple as well as straightforward. "
YES,1-3 TIMES A MONTH,GOOD,BASE ON THE CLARITY OF SOUND,6,5,2,4,1,3,SONY,5,4,3,3,4,3,2,3,PORTABILITY ,"LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS","MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",$50 TO $100,2,MULTI-BRAND ELECTRONICS STORES (AN ACTUAL PHYSICAL STORE SELLING ONLY ELECTRONICS FROM A VARIETY OF BRANDS),ASK FRIENDS THAT HAVE USED IT BEFORE ,25-34,MALE,"LESS THAN $25,000",BEST WISHES IN YOUR RESEARCH AND I HOPE TO HEAR THE OUTCOME ,Best wishes in your research and I hope to hear the outcome 
YES,DAILY,EXCELLENT,I ENJOY THE OUTPUT ,6,2,5,3,4,1,SONY,1,3,1,1,3,3,1,5,BATTERY LIFE AND EXTENDED WIRELESS PROXIMITY ,"LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS, WORK STUFF (E.G., WEBINARS, ONLINE MEETINGS)","SPENDING MORE TIME AT HOME, HOME WORKOUTS",LESS THAN $50,2,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),BASED ON FEATURES AND THEN CHECK ONLINE TO COMPARE PRICES,25-34,MALE,"$25,000-$50,000",I LOVE THE WIRELESS SPEAKERS TECHNOLOGY,I love the wireless Speakers Technology
YES,1-3 TIMES A MONTH,EXCELLENT,ON A SCALE FROM 1/10 I WOULD RATE IT A 10 BECAUSE IT WAS VERY LOUD AND IT DOESN’T EVEN HAVE TO BE TURNED UP TO THE HIGHEST VOLUME ,1,4,3,2,5,6,ION ,4,1,1,3,5,3,4,5,IF IT WAS SMALLER ,LISTENING TO MUSIC,"SPENDING MORE TIME AT HOME, HOME WORKOUTS",$100 TO $200,1,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),I TRY TO GET THE BEST QUALITY FOR A REASONABLE PRICE ,18-24,FEMALE,"$50,000-$75,000",N/A,N/a
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,DAILY,GOOD,IT'S GOOD,6,4,1,2,3,5,JBL,4,4,4,5,5,5,4,4,IF I CAN CANCEL NOISE AND GIVE ME A MORE AMBIENT,"LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS, PODCASTS/AUDIOBOOKS","SPENDING MORE TIME AT HOME, MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",$50 TO $100,5,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),"THE PRICE, IT SHOULD BE CONSIDERATE AND AFFORDABLE ",25-34,MALE,"LESS THAN $25,000",I BELIEVE THAT SOUND QUALITY SHOULD TAKE PRECEDENCE OVER ALL OTHER SPECIFICATIONS.,I believe that sound quality should take precedence over all other specifications.
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,ONCE A WEEK,GOOD,VERY GOOD,5,2,1,4,6,3,JBL,4,3,5,1,4,3,3,4,BATERRY,LISTENING TO MUSIC,"MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",$100 TO $200,2,MULTI-BRAND ELECTRONICS STORES (AN ACTUAL PHYSICAL STORE SELLING ONLY ELECTRONICS FROM A VARIETY OF BRANDS),GG,Under 18,MALE,"LESS THAN $25,000",I DON’T ,I don’t 
